palavra,n_vogais,vogais_unicas,letra_0,letra_1,letra_2,letra_3,letra_4
aarao,4,2,a,a,r,a,o
abner,2,2,a,b,n,e,r
acaia,4,2,a,c,a,i,a
acker,2,2,a,c,k,e,r
aires,3,3,a,i,r,e,s
alair,3,2,a,l,a,i,r
alceu,3,3,a,l,c,e,u
algol,2,2,a,l,g,o,l
aline,3,3,a,l,i,n,e
alpes,2,2,a,l,p,e,s
amapa,3,1,a,m,a,p,a
andre,2,2,a,n,d,r,e
argel,2,2,a,r,g,e,l
argos,2,2,a,r,g,o,s
artur,2,2,a,r,t,u,r
aecio,4,4,a,e,c,i,o
babel,2,2,b,a,b,e,l
bagda,2,1,b,a,g,d,a
bangu,2,2,b,a,n,g,u
belem,2,1,b,e,l,e,m
bento,2,2,b,e,n,t,o
berna,2,2,b,e,r,n,a
berta,2,2,b,e,r,t,a
bielo,3,3,b,i,e,l,o
borba,2,2,b,o,r,b,a
bruno,2,2,b,r,u,n,o
carla,2,1,c,a,r,l,a
ceara,3,2,c,e,a,r,a
chica,2,2,c,h,i,c,a
chico,2,2,c,h,i,c,o
chile,2,2,c,h,i,l,e
china,2,2,c,h,i,n,a
couto,3,2,c,o,u,t,o
catia,3,2,c,a,t,i,a
cesar,2,2,c,e,s,a,r
dafne,2,2,d,a,f,n,e
darci,2,2,d,a,r,c,i
dario,3,3,d,a,r,i,o
david,2,2,d,a,v,i,d
denis,2,2,d,e,n,i,s
diana,3,2,d,i,a,n,a
dacia,3,2,d,a,c,i,a
edgar,2,2,e,d,g,a,r
edite,3,2,e,d,i,t,e
egito,3,3,e,g,i,t,o
elias,3,3,e,l,i,a,s
elisa,3,3,e,l,i,s,a
elixa,3,3,e,l,i,x,a
emaus,3,3,e,m,a,u,s
esopo,3,2,e,s,o,p,o
ester,2,1,e,s,t,e,r
euler,3,2,e,u,l,e,r
filho,2,2,f,i,l,h,o
fabio,3,3,f,a,b,i,o
gales,2,2,g,a,l,e,s
gauss,2,2,g,a,u,s,s
goias,3,3,g,o,i,a,s
golfo,2,1,g,o,l,f,o
hegel,2,1,h,e,g,e,l
intel,2,2,i,n,t,e,l
jaime,3,3,j,a,i,m,e
japao,3,2,j,a,p,a,o
jesus,2,2,j,e,s,u,s
jorge,2,2,j,o,r,g,e
kazuo,3,3,k,a,z,u,o
kioto,3,2,k,i,o,t,o
klein,2,2,k,l,e,i,n
labma,2,1,l,a,b,m,a
lages,2,2,l,a,g,e,s
laura,3,2,l,a,u,r,a
lauro,3,3,l,a,u,r,o
lenin,2,2,l,e,n,i,n
linda,2,2,l,i,n,d,a
linus,2,2,l,i,n,u,s
linux,2,2,l,i,n,u,x
